Phantom already exists, skipping: cuboid_phantom_5_normal.npy

################################################################################
Running cuboid=normal scenario=G0 N_ANGLES=180, K=5
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4          x5          y5  area5
71   proj_071.png  367.925046  63.173675    547  499.960549  168.106346    583  591.708754  280.447811    594  454.374801  388.118022    627  367.899818  481.495446    549
72   proj_072.png  371.278085  63.285451    543  502.459322  168.105085    590  588.499165  280.627713    599  451.642857  388.166667    630  371.145455  481.105455    550
73   proj_073.png  374.684502  63.260148    542  505.013652  168.063140    586  585.000000  280.868243    592  449.092913  388.028346    635  374.648352  480.683150    546
74   proj_074.png  378.284387  63.258364    538  507.525510  168.153061    588  581.443508  280.973019    593  446.534073  387.911252    631  378.244936  480.480663    543
75   proj_075.png  381.922222  63.218519    540  509.979661  168.083051    590  577.766779  281.100671    596  443.958796  387.847861    631  381.972628  480.160584    548
76   proj_076.png  385.639706  63.310662    544  512.395939  168.223350    591  573.884106  281.268212    604  441.460317  387.766667    630  385.661792  479.864717    547
77   proj_077.png  389.601113  63.350649    539  514.845238  168.200680    588  569.915966  281.448739    595  439.159164  387.635048    622  389.556377  479.539741    541
78   proj_078.png  393.595194  63.347505    541  517.111864  168.200000    590  565.861204  281.607023    598  436.619583  387.574639    623  393.617916  479.382084    547
79   proj_079.png  397.724453  63.328467    548  519.419192  168.333333    594  561.637562  281.640857    607  434.313600  387.500800    625  397.773551  479.050725    552
80   proj_080.png  401.956044  63.380952    546  521.742321  168.302048    586  557.312397  281.862810    605  432.033654  387.429487    624  401.928962  478.843352    549
81   proj_081.png  406.269581  63.335155    549  523.955403  168.336192    583  552.827018  281.889621    607  429.795491  387.330113    621  406.253165  478.584087    553
82   proj_082.png  410.500000  63.305455    550  526.029412  168.326990    578  548.344209  282.086460    613  427.608065  387.191935    620  410.556364  478.389091    550
83   proj_083.png  414.786355  63.324955    557  528.086356  168.398964    579  543.749191  282.189320    618  425.478689  387.032787    610  414.776596  478.168440    564
84   proj_084.png  419.251786  63.348214    560  530.107266  168.458478    578  539.258427  282.288925    623  423.404255  386.927987    611  419.189381  477.982301    565
85   proj_085.png  423.739677  63.342908    557  532.087108  168.500000    574  534.507200  282.353600    625  421.459638  386.754530    607  423.771993  477.845601    557
86   proj_086.png  428.416667  63.335145    552  534.031142  168.527682    578  529.689600  282.505600    625  419.575658  386.585526    608  428.390597  477.638336    553
87   proj_087.png  433.048561  63.392086    556  535.913345  168.552860    577  524.732484  282.527070    628  417.843854  386.433555    602  433.019678  477.486583    559
88   proj_088.png  437.741472  63.389587    557  537.574913  168.620209    574  519.702532  282.596519    632  416.198664  386.382304    599  437.711470  477.417563    558
89   proj_089.png  442.500000  63.276978    556  539.139616  168.687609    573  514.697638  282.628346    635  414.524370  386.242017    595  442.486583  477.214669    559
90   proj_090.png  447.230769  63.402504    559  540.792254  168.735915    568  509.638095  282.700000    630  412.952542  386.042373    590  447.269504  477.184397    564
91   proj_091.png  452.088028  63.364437    568  542.317073  168.831010    574  504.548589  282.783699    638  411.417657  385.933786    589  452.093310  477.059859    568
92   proj_092.png  456.957447  63.391844    564  543.802469  168.825397    567  499.452119  282.869702    637  409.936317  385.786575    581  456.939716  477.015957    564
93   proj_093.png  461.833040  63.333919    569  545.218914  168.845884    571  494.225309  282.833333    648  408.639594  385.617597    591  461.744308  476.952715    571
94   proj_094.png  466.735346  63.325044    563  546.538324  168.944742    561  488.942813  282.919629    647  407.376068  385.369231    585  466.717047  476.940246    569
95   proj_095.png  471.673759  63.329787    564  547.752669  168.939502    562  483.756173  282.932099    648  406.166954  385.187608    581  471.670175  476.940351    570
96   proj_096.png  476.608156  63.331560    564  548.965766  168.965766    555  478.524922  282.948598    642  405.113597  385.103270    581  476.633803  476.910211    568
97   proj_097.png  481.451786  63.373214    560  549.969643  169.017857    560  473.243789  282.871118    644  404.095321  384.906412    577  481.409894  476.895760    566
98   proj_098.png  486.339350  63.348375    554  550.976868  169.119217    562  468.068429  282.821151    643  403.121528  384.701389    576  486.333333  476.902482    564
99   proj_099.png  491.119857  63.364937    559  551.928699  169.137255    561  462.859594  282.828393    641  402.302448  384.596154    572  491.181979  476.977032    566
100  proj_100.png  496.042478  63.396460    565  552.711033  169.120841    571  457.615023  282.730829    639  401.702749  384.381443    582  496.105079  477.015762    571
101  proj_101.png  501.000000  63.388007    567  553.332756  169.190641    577  452.453834  282.754304    639  401.032368  384.100511    587  501.052265  477.092334    574
102  proj_102.png  505.874558  63.348057    566  553.979167  169.232639    576  447.336973  282.769111    641  400.500000  384.000000    590  505.828970  477.141361    573
103  proj_103.png  510.658273  63.386691    556  554.512111  169.259516    578  442.201258  282.632075    636  400.056122  383.870748    588  510.650089  477.182948    563
104  proj_104.png  515.351885  63.405745    557  554.954939  169.459272    577  437.139937  282.595912    636  399.787053  383.729131    587  515.407540  477.359066    557
