
################################################################################
Running scenario=G0 N_ANGLES=360, K=4
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
157  proj_157.png  395.583072  63.327586    638  533.074780  205.054252    682  449.489130  355.282609    736  395.575000  479.171875    640
158  proj_158.png  397.709375  63.335938    640  533.124451  205.065886    683  447.134409  355.266129    744  397.622671  479.006211    644
159  proj_159.png  399.758942  63.306376    643  533.242380  205.053701    689  444.860027  355.208614    743  399.750769  478.927692    650
160  proj_160.png  401.862500  63.375000    640  533.296512  205.071221    688  442.654939  355.184032    739  401.835913  478.848297    646
161  proj_161.png  404.001550  63.396899    645  533.334783  205.060870    690  440.340970  355.168464    742  404.001543  478.657407    648
162  proj_162.png  406.192901  63.296296    648  533.325145  205.101156    692  438.145183  355.105834    737  406.156589  478.582946    645
163  proj_163.png  408.379471  63.363919    643  533.284470  205.150943    689  435.825850  355.077551    735  408.353583  478.490654    642
164  proj_164.png  410.479005  63.343701    643  533.289017  205.252890    692  433.681633  355.014966    735  410.480000  478.420000    650
165  proj_165.png  412.588872  63.343122    647  533.235209  205.258297    693  431.468750  354.974185    736  412.633997  478.249617    653
166  proj_166.png  414.840491  63.299080    652  533.215827  205.293525    695  429.289402  354.944293    736  414.834347  478.118541    658
167  proj_167.png  416.986196  63.308282    652  533.191919  205.288600    693  427.096467  354.875000    736  416.980363  478.111782    662
168  proj_168.png  419.165899  63.311828    651  533.105187  205.332853    694  424.941417  354.817439    734  419.196672  478.000000    661
169  proj_169.png  421.500000  63.419753    648  533.004329  205.404040    693  422.743520  354.728513    733  421.475460  477.888037    652
170  proj_170.png  423.834101  63.311828    651  533.000000  205.425072    694  420.607438  354.636364    726  423.794521  477.849315    657
171  proj_171.png  426.056748  63.319018    652  532.829023  205.449713    696  418.548831  354.574966    727  426.013720  477.778963    656
172  proj_172.png  428.417565  63.403698    649  532.607703  205.447932    701  416.545953  354.519890    729  428.417431  477.628440    654
173  proj_173.png  430.684533  63.335375    653  532.500000  205.458924    706  414.500000  354.500000    728  430.698171  477.594512    656
174  proj_174.png  433.038285  63.301685    653  532.320000  205.500000    700  412.496561  354.462173    727  433.061350  477.556748    652
175  proj_175.png  435.415008  63.405819    653  532.022989  205.500000    696  410.520055  354.395574    723  435.478462  477.478462    650
176  proj_176.png  437.747692  63.343077    650  531.887770  205.530935    695  408.520111  354.357836    721  437.736600  477.370597    653
177  proj_177.png  440.119266  63.314985    654  531.616809  205.571225    702  406.536857  354.305981    719  440.108067  477.252664    657
