K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it
7,30,0.024,0.000001,0.158476,49,-0.009,0.000001,0.106402,38,-0.008,0.000000,0.000000,51,0.007,0.000000,0.210825,59,0.009,0.000001,0.190919,39
6,36,-0.002,0.000000,0.227860,51,0.000,0.000001,0.242295,50,0.031,0.000001,0.122250,53,-0.006,0.000000,0.114023,62,-0.019,0.000001,0.214427,32
4,36,0.026,0.000000,0.134310,51,-0.032,0.000000,0.105654,41,0.090,0.000001,0.173325,54,-0.007,0.000000,0.012619,64,0.016,0.000000,0.017865,37
7,36,-0.000,0.000001,0.355439,45,0.053,0.000002,0.289772,43,0.003,0.000000,0.021525,52,0.001,0.000001,0.160135,62,0.032,0.000001,0.254103,32
1,40,0.692,0.000000,0.036693,33,0.159,0.000001,0.015201,32,0.409,0.000001,0.028209,29,0.219,0.000001,0.021497,33,0.327,0.000000,0.006930,34
1,45,0.409,0.000001,0.009645,33,0.297,0.000001,0.023024,34,0.114,0.000001,0.015474,38,0.203,0.000001,0.019342,33,0.714,0.000001,0.033166,32
5,40,-0.007,0.000002,0.233851,51,-0.001,0.000001,0.094549,43,-0.011,0.000001,0.083444,56,0.009,0.000001,0.210978,61,-0.002,0.000000,0.143661,33
3,40,0.034,0.000001,0.040397,47,-0.015,0.000000,0.029427,46,-0.002,0.000000,0.029721,62,0.015,0.000000,0.027617,74,0.024,0.000000,0.034756,45
3,45,-0.010,0.000001,0.031262,45,0.004,0.000000,0.016155,48,-0.032,0.000001,0.096829,49,-0.001,0.000001,0.023689,78,0.030,0.000001,0.127861,36
6,40,0.042,0.000001,0.168042,51,0.018,0.000001,0.242453,42,0.005,0.000001,0.161322,63,-0.003,0.000001,0.154969,67,0.039,0.000002,0.178192,36
4,45,0.052,0.000001,0.099714,53,-0.012,0.000000,0.109554,42,0.015,0.000001,0.144813,55,0.017,0.000000,0.109031,68,-0.003,0.000001,0.090771,39
4,40,0.000,0.000001,0.087006,44,-0.012,0.000001,0.233233,47,0.008,0.000001,0.049592,48,0.019,0.000000,0.071141,66,0.024,0.000001,0.081446,44
5,45,-0.009,0.000001,0.119573,53,0.014,0.000001,0.269449,41,-0.000,0.000001,0.181668,60,0.005,0.000001,0.118926,67,-0.005,0.000001,0.210522,42
6,45,0.006,0.000001,0.011059,48,-0.005,0.000001,0.189977,39,0.017,0.000001,0.264471,59,0.013,0.000000,0.226135,61,0.028,0.000000,0.115095,33
